Transform,Detail,Approximate,Metric,Value
1,5,,5,0.81775
1,5,,6,0.0039767
1,5,,7,0.19135
1,5,,8,0.0066727
1,6,,1,0.47188
1,6,,2,0.50285
1,6,,3,0.60583
1,6,,4,0.0050229
1,6,,5,0.82266
1,6,,6,0.00276
1,6,,7,0.38836
1,6,,8,0.0066538
1,7,,1,0.4212
1,7,,2,0.50013
1,7,,3,0.48144
1,7,,4,0.0050093
1,7,,5,0.81841
1,7,,6,0.0028604
1,7,,7,0.28689
1,7,,8,0.0066718
1,1,,1,0.34352
1,1,,2,0.33781
1,1,,3,0.50031
1,1,,4,0.0043106
1,1,,5,0.81423
1,1,,6,0.0028446
1,1,,7,0.28968
1,1,,8,0.003345
1,2,,1,0.29852
1,2,,2,0.6097
1,2,,3,0.42689
1,2,,4,0.0038689
1,2,,5,0.81141
1,2,,6,0.0044057
1,2,,7,0.24756
1,2,,8,0.0033888
1,3,,1,0.33285
1,3,,2,0.3295
1,3,,3,0.52794
1,3,,4,0.0040019
1,3,,5,0.81406
1,3,,6,0.0030651
1,3,,7,0.19945
1,3,,8,0.0033013
1,4,,1,0.64801
1,4,,2,0.44879
1,4,,3,0.72286
1,4,,4,0.0053245
1,4,,5,0.85378
1,4,,6,0.0022756
1,4,,7,0.88107
1,4,,8,0.0033697
1,5,,1,0.30828
1,5,,2,0.56849
1,5,,3,0.42993
1,5,,4,0.0038456
1,5,,5,0.81208
1,5,,6,0.0044227
1,5,,7,0.18951
1,5,,8,0.0033451
1,6,,1,0.34607
1,6,,2,0.58454
1,6,,3,0.54721
1,6,,4,0.0043388
1,6,,5,0.81426
1,6,,6,0.0030052
1,6,,7,0.3871
1,6,,8,0.0033657
1,7,,1,0.32757
1,7,,2,0.47311
1,7,,3,0.51392
1,7,,4,0.0042563
1,7,,5,0.81344
1,7,,6,0.0030465
1,7,,7,0.25528
1,7,,8,0.0033321
1,1,,1,0.40293
1,1,,2,0.52652
1,1,,3,0.31279
1,1,,4,0.0040765
1,1,,5,0.81967
1,1,,6,0.0027328
1,1,,7,0.25714
1,1,,8,0.024834
1,2,,1,0.42164
1,2,,2,0.61759
1,2,,3,0.17142
1,2,,4,0.0037499
1,2,,5,0.81957
1,2,,6,0.0044604
1,2,,7,0.24565
1,2,,8,0.025395
1,3,,1,0.42856
1,3,,2,0.37892
1,3,,3,0.53038
1,3,,4,0.0033668
